sequence_number,total_time_millis,step_time_millis,voltage,current,power,step_amp_hours,step_charged_amp_hours,step_discharged_amp_hours,step_watt_hours,step_charged_watt_hours,step_discharged_watt_hours,total_cycle,step_number,step_type,step_id,cycler_type,observed_at
1,5000,5000,1.184772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Rest,1,arbin,2021-04-21T17:14:26.791300000
2,10000,10000,1.184732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Rest,1,arbin,2021-04-21T17:14:31.790600000
3,10008,10008,1.184726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Rest,1,arbin,2021-04-21T17:14:31.798400000
4,15090,5001,1.153556,-0.2000019,-0.23071339175640002,0.0002728737,0.0,0.0002728737,0.0003185393,0.0,0.0003185393,1,2,CC_DChg,2,arbin,2021-04-21T17:14:36.880300000
5,20089,10001,1.126072,-0.2000011,-0.22521563867919997,0.0005482146,0.0,0.0005482146,0.0006324719,0.0,0.0006324719,1,2,CC_DChg,2,arbin,2021-04-21T17:14:41.879600000
6,25090,15002,1.098909,-0.2000019,-0.2197838879271,0.0008331829,0.0,0.0008331829,0.0009495291,0.0,0.0009495291,1,2,CC_DChg,2,arbin,2021-04-21T17:14:46.881000000
7,30090,20001,1.071837,-0.2000012,-0.21436868620439997,0.001106601,0.0,0.001106601,0.001246254,0.0,0.001246254,1,2,CC_DChg,2,arbin,2021-04-21T17:14:51.880400000
8,35088,25000,1.044894,-0.2000007,-0.2089795314258,0.001382908,0.0,0.001382908,0.001538749,0.0,0.001538749,1,2,CC_DChg,2,arbin,2021-04-21T17:14:56.878900000
9,40090,30002,1.018048,-0.2000005,-0.203610109024,0.001666649,0.0,0.001666649,0.001831418,0.0,0.001831418,1,2,CC_DChg,2,arbin,2021-04-21T17:15:01.881000000
10,45088,35000,0.9913115,-0.1999994,-0.1982617052131,0.001941971,0.0,0.001941971,0.002107999,0.0,0.002107999,1,2,CC_DChg,2,arbin,2021-04-21T17:15:06.879200000
