File Format Type:	ArbinCsvFormat1
Header Lines:	14
Serial Number:	215751
Cycler Name:	
Channel Id:	1
Test Name: 	test1200
Test ID: 	2
Schedule Name: 	AB-CC_Low_5V5A+TestObject_cc.sdx
Timezone: 	GMT -6:00
Data Type Flag:	 {"1":"IVBasicData","2":"IVExtendData","3":"AuxData","4":"CANBMSData","5":"SMBData","6":"EISData","7":"SMBString"}
Aux Definition:	{"AuxV1":"Aux Voltage(V) V_001","dAuxVdt1":"Aux Voltage dVdt_001","AuxV2":"Aux Voltage(V) V_002","dAuxVdt2":"Aux Voltage dVdt_002","AuxV3":"Aux Voltage(V) V_003","dAuxVdt3":"Aux Voltage dVdt_003","AuxV4":"Aux Voltage(V) V_004","dAuxVdt4":"Aux Voltage dVdt_004","AuxV5":"Aux Voltage(V) V_005","dAuxVdt5":"Aux Voltage dVdt_005","AuxV6":"Aux Voltage(V) V_006","dAuxVdt6":"Aux Voltage dVdt_006","AuxV7":"Aux Voltage(V) V_007","dAuxVdt7":"Aux Voltage dVdt_007","AuxV8":"Aux Voltage(V) V_008","dAuxVdt8":"Aux Voltage dVdt_008","AuxV9":"Aux Voltage(V) V_009","dAuxVdt9":"Aux Voltage dVdt_009","AuxV10":"Aux Voltage(V) V_010","dAuxVdt10":"Aux Voltage dVdt_010","AuxV11":"Aux Voltage(V) V_011","dAuxVdt11":"Aux Voltage dVdt_011","AuxV12":"Aux Voltage(V) V_012","dAuxVdt12":"Aux Voltage dVdt_012","AuxV13":"Aux Voltage(V) V_013","dAuxVdt13":"Aux Voltage dVdt_013","AuxV14":"Aux Voltage(V) V_014","dAuxVdt14":"Aux Voltage dVdt_014","AuxV15":"Aux Voltage(V) V_015","dAuxVdt15":"Aux Voltage dVdt_015","AuxV16":"Aux Voltage(V) V_016","dAuxVdt16":"Aux Voltage dVdt_016"}
Data Field:
"Byte Index"	"Line Number"	"Data Type Flag"	"Data Point"	"Test Time"	"Step Time"	"Cycle Index"	"Step Index"	"Current"	"Voltage"	"Charge Capacity"	"Discharge Capacity"	"Charge Energy"	"Discharge Energy"	"Data Flags"	"Data Time"	"Other Information"
 	 	 	 	"s"	"s"	 	 	"A"	"V"	Ah	Ah	Wh	Wh	 	"DateTime"	"JSON"
1740	1	3												0	16212709213978000	{"V_001": 1.304837e001,"dVdt_001":-5.619815e-04,"V_002": 1.307758e001,"dVdt_002": 6.781014e-04,"V_003": 1.297440e001,"dVdt_003": 2.969332e-04,"V_004": 1.305495e001,"dVdt_004": 4.221212e-04,"V_005": 1.302653e001,"dVdt_005":-1.830378e-04,"V_006": 1.309398e001,"dVdt_006":-3.613824e-04,"V_007": 1.304760e001,"dVdt_007":-2.196454e-04,"V_008": 1.310382e001,"dVdt_008":-6.559913e-04,"V_009": 1.315630e001,"dVdt_009": 6.621952e-04,"V_010": 1.300682e001,"dVdt_010":-1.463150e-04,"V_011": 1.306010e001,"dVdt_011": 5.408591e-04,"V_012": 1.314623e001,"dVdt_012": 8.396245e-04,"V_013": 1.318070e001,"dVdt_013": 1.244210e-03,"V_014": 1.302035e001,"dVdt_014": 1.140722e-03,"V_015": 1.309753e001,"dVdt_015": 7.423418e-04,"V_016": 1.316727e001,"dVdt_016": 4.527886e-04}
2535	2	3												0	16212709214527000	{"V_001": 1.304921e001,"dVdt_001":-5.619815e-04,"V_002": 1.307853e001,"dVdt_002": 6.781014e-04,"V_003": 1.297518e001,"dVdt_003": 2.969332e-04,"V_004": 1.305583e001,"dVdt_004": 4.221212e-04,"V_005": 1.302759e001,"dVdt_005":-1.830378e-04,"V_006": 1.309511e001,"dVdt_006":-3.613824e-04,"V_007": 1.304898e001,"dVdt_007":-2.196454e-04,"V_008": 1.310519e001,"dVdt_008":-6.559913e-04,"V_009": 1.315732e001,"dVdt_009": 6.621952e-04,"V_010": 1.300772e001,"dVdt_010":-1.463150e-04,"V_011": 1.306112e001,"dVdt_011": 5.408591e-04,"V_012": 1.314712e001,"dVdt_012": 8.396245e-04,"V_013": 1.318174e001,"dVdt_013": 1.244210e-03,"V_014": 1.302135e001,"dVdt_014": 1.140722e-03,"V_015": 1.309838e001,"dVdt_015": 7.423418e-04,"V_016": 1.316816e001,"dVdt_016": 4.527886e-04}
3330	3	3												0	16212709215057000	{"V_001": 1.304818e001,"dVdt_001":-5.619815e-04,"V_002": 1.307753e001,"dVdt_002": 6.781014e-04,"V_003": 1.297412e001,"dVdt_003": 2.969332e-04,"V_004": 1.305469e001,"dVdt_004": 4.221212e-04,"V_005": 1.302639e001,"dVdt_005":-1.830378e-04,"V_006": 1.309393e001,"dVdt_006":-3.613824e-04,"V_007": 1.304754e001,"dVdt_007":-2.196454e-04,"V_008": 1.310369e001,"dVdt_008":-6.559913e-04,"V_009": 1.315602e001,"dVdt_009": 6.621952e-04,"V_010": 1.300668e001,"dVdt_010":-1.463150e-04,"V_011": 1.306005e001,"dVdt_011": 5.408591e-04,"V_012": 1.314596e001,"dVdt_012": 8.396245e-04,"V_013": 1.318040e001,"dVdt_013": 1.244210e-03,"V_014": 1.302024e001,"dVdt_014": 1.140722e-03,"V_015": 1.309734e001,"dVdt_015": 7.423418e-04,"V_016": 1.316726e001,"dVdt_016": 4.527886e-04}
4125	4	3												0	16212709215612000	{"V_001": 1.304925e001,"dVdt_001":-5.619815e-04,"V_002": 1.307857e001,"dVdt_002": 6.781014e-04,"V_003": 1.297524e001,"dVdt_003": 2.969332e-04,"V_004": 1.305584e001,"dVdt_004": 4.221212e-04,"V_005": 1.302749e001,"dVdt_005":-1.830378e-04,"V_006": 1.309490e001,"dVdt_006":-3.613824e-04,"V_007": 1.304857e001,"dVdt_007":-2.196454e-04,"V_008": 1.310492e001,"dVdt_008":-6.559913e-04,"V_009": 1.315707e001,"dVdt_009": 6.621952e-04,"V_010": 1.300741e001,"dVdt_010":-1.463150e-04,"V_011": 1.306092e001,"dVdt_011": 5.408591e-04,"V_012": 1.314707e001,"dVdt_012": 8.396245e-04,"V_013": 1.318155e001,"dVdt_013": 1.244210e-03,"V_014": 1.302116e001,"dVdt_014": 1.140722e-03,"V_015": 1.309843e001,"dVdt_015": 7.423418e-04,"V_016": 1.316813e001,"dVdt_016": 4.527886e-04}
4920	5	1	1	2.00000023841857e-03	2.00000023841857e-03	1	1	-4.679560e-04	-4.425048e-04	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3670017	16212709213977000	{}
5091	6	1	2	4.30000019073486e-03	4.30000019073486e-03	1	1	-4.679560e-04	-4.425048e-04	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3670016	16212709214000000	{}
5262	7	1	3	9.30000019073486e-03	9.30000019073486e-03	1	1	 8.280050e-02	-3.757476e-04	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3801088	16212709214050000	{}
5433	8	1	4	1.37999999523162e-02	1.37999999523162e-02	1	1	 8.280712e-02	-2.908706e-04	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3801088	16212709214095000	{}
5604	9	1	5	1.49000000953674e-02	1.49000000953674e-02	1	1	 8.280712e-02	-2.908706e-04	 3.174272e-07	 0.000000e000	-9.233027e-11	 0.000000e000	3801088	16212709214106000	{}
5775	10	1	6	1.63000001907348e-02	1.63000001907348e-02	1	1	 8.273524e-02	-3.256797e-04	 3.174272e-07	 0.000000e000	-9.233027e-11	 0.000000e000	3801088	16212709214120000	{}
5947	11	1	7	1.78999996185302e-02	1.78999996185302e-02	1	1	 8.273524e-02	-3.256797e-04	 3.174272e-07	 0.000000e000	-9.233027e-11	 0.000000e000	3801088	16212709214136000	{}
6119	12	1	8	2.34999990463256e-02	2.34999990463256e-02	1	1	 8.279478e-02	-3.209114e-04	 3.174272e-07	 0.000000e000	-9.233027e-11	 0.000000e000	3801088	16212709214192000	{}
6291	13	1	9	2.50000000000000e-02	2.50000000000000e-02	1	1	 8.279478e-02	-3.209114e-04	 3.174272e-07	 0.000000e000	-9.233027e-11	 0.000000e000	3801088	16212709214207000	{}
6463	14	1	10	3.02999997138977e-02	3.02999997138977e-02	1	1	 8.282089e-02	-3.337860e-04	 3.174272e-07	 0.000000e000	-9.233027e-11	 0.000000e000	3801088	16212709214260000	{}
