File Format Type:	ArbinCsvFormat1
Header Lines:	14
Serial Number:	217719-B
Cycler Name:	
Channel Id:	1
Test Name: 	AB-CC_High_0.2A+TestObject_cc210421121129
Test ID: 	1
Schedule Name: 	AB-CC_High_0.2A+TestObject_cc.sdx
Timezone: 	GMT -6:00
Data Type Flag:	 {"1":"IVBasicData","2":"IVExtendData","3":"AuxData","4":"CANBMSData","5":"SMBData","6":"EISData","7":"SMBString"}
Aux Definition:	
Data Field:
"Byte Index"	"Line Number"	"Data Type Flag"	"Data Point"	"Test Time"	"Step Time"	"Cycle Index"	"Step Index"	"Current"	"Voltage"	"Charge Capacity"	"Discharge Capacity"	"Charge Energy"	"Discharge Energy"	"Data Flags"	"Data Time"	"Other Information"
 	 	 	 	"s"	"s"	 	 	"A"	"V"	Ah	Ah	Wh	Wh	 	"DateTime"	"JSON"
721	1	1	1	5.00099992752075e00	5.00089979171752e00	1	1	 0.000000e000	 1.184772e000	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3670019	16190252667913000	{}
889	2	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD1":0.0}
991	3	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD2":0.0}
1093	4	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD3":0.0}
1196	5	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD4":0.0}
1299	6	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD5":0.0}
1402	7	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD6":0.0}
1505	8	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD7":0.0}
1608	9	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD8":0.0}
1711	10	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD9":0.0}
1815	11	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD10":0.0}
1920	12	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD11":0.0}
2025	13	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD12":0.0}
2130	14	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD13":0.0}
2235	15	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD14":0.0}
2340	16	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD15":0.0}
2445	17	2	1	5.00099992752075e00	5.00089979171752e00	1	1							3670019	16190252667913000	{"MV_UD16":0.0}
2550	18	1	2	1.00003004074096e01	1.00002002716064e01	1	1	 0.000000e000	 1.184732e000	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3670018	16190252717906000	{}
2720	19	1	3	1.00080990791320e01	1.00080001354217e01	1	1	 0.000000e000	 1.184726e000	 0.000000e000	 0.000000e000	 0.000000e000	 0.000000e000	3670018	16190252717984000	{}
